"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","b_game","b_hit_by_pitch","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","fast_swing_rate","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Polanco, Jorge",593871,2020,26,209,226,54,42,8,0,4,35,13,15.5,5.8,".258",".354",".304","0.658","0.096",".292","19","55","1",".263",".381",".289",".304",".308",".118",".314",".333",".309",".315","-0.005","-0.027","-0.015",,39,2.8,33.3,"96.651106591","92.358275714",16.8,43.7
"Lowe, Brandon",664040,2020,25,193,224,52,27,9,2,14,58,25,25.9,11.2,".269",".554",".362","0.916","0.285",".309","37","56","4",".258",".547",".385",".381",".353",".289",".480",".475",".380",".366",".011",".007",".004",,37.2,17.5,43.1,"101.582307353","95.064492574",35.7,46.9
"Swanson, Dansby",621020,2020,26,237,264,65,40,15,0,10,71,22,26.9,8.3,".274",".464",".345","0.809","0.190",".350","35","60","4",".267",".474",".348",".354",".341",".206",".441",".450",".389",".384",".007","-0.010","-0.006",,40.7,11.4,40.7,"99.696452771","94.009281333",31.6,47.2
"Turner, Trea",607208,2020,27,233,259,78,47,15,4,12,36,22,13.9,8.5,".335",".588",".394","0.982","0.253",".353","41","59","2",".303",".515",".413",".383",".369",".212",".452",".415",".392",".360",".032",".073",".030",,34.2,9.5,40.7,"100.635350612","94.552732551",19.6,46.9
"Ramírez, José",608070,2020,27,219,254,64,30,16,1,17,43,31,16.9,12.2,".292",".607",".386","0.993","0.315",".294","46","58","3",".264",".507",".415",".373",".362",".243",".460",".401",".362",".327",".028",".100",".042",,36.7,10.2,35.6,"99.264116591","93.668352686",16.6,41.4
"Taylor, Chris",621035,2020,29,185,214,50,30,10,2,8,55,26,25.7,12.1,".270",".476",".366","0.842","0.206",".344","32","56","2",".272",".488",".364",".371",".368",".216",".445",".458",".385",".388","-0.002","-0.012","-0.007",,35.1,11.5,45,"101.014144762","94.70205312",32.5,44.9
"Gonzalez, Marwin",503556,2020,31,175,199,37,28,4,0,5,41,17,20.6,8.5,".211",".320",".286","0.606","0.109",".241","22","53","3",".240",".401",".269",".314",".315",".162",".287",".351",".268",".309","-0.029","-0.081","-0.045",,31.9,5.1,38.4,"98.202361739","93.451501168",23.5,43
"McMahon, Ryan",641857,2020,25,172,193,37,21,6,1,9,66,18,34.2,9.3,".215",".419",".295","0.714","0.204",".286","26","52","2",".203",".389",".308",".296",".286",".186",".424",".405",".346",".330",".012",".030",".012",,27.1,11.2,43,"101.166563962","94.858618952",31.7,47.3
"Wong, Kolten",543939,2020,29,181,208,48,41,4,2,1,30,20,14.4,9.6,".265",".326",".350","0.676","0.061",".311","16","53","4",".235",".306",".305",".286",".324",".070",".304",".280",".316",".281",".030",".020",".019",,31.2,0.6,26.6,"95.584306892","91.793051554",15.8,43.9
"Gurriel Jr., Yuli",493329,2020,36,211,230,49,30,12,1,6,27,12,11.7,5.2,".232",".384",".274","0.658","0.152",".235","22","57","2",".265",".408",".281",".318",".314",".143",".290",".335",".259",".308","-0.033","-0.024","-0.037",,34.4,3.7,36.5,"98.527696064","93.454652781",15.6,48.8
"Báez, Javier",595879,2020,27,222,235,45,27,9,1,8,75,7,31.9,3,".203",".360",".238","0.598","0.157",".262","24","59","4",".213",".380",".256",".275",".251",".167",".351",".383",".302",".324","-0.010","-0.020","-0.019",,24.8,8.1,40.3,"101.31207375","94.809897708",38.2,53.2
"Verdugo, Alex",657077,2020,24,201,221,62,40,16,0,6,45,17,20.4,7.7,".308",".478",".367","0.845","0.170",".371","15","53","2",".238",".369",".362",".299",".305",".132",".427",".338",".395",".308",".070",".109",".063",,31.2,6.4,34.4,"98.021422025","93.054003567",18.7,42.8
"Ahmed, Nick",605113,2020,30,199,217,53,37,10,1,5,46,18,21.2,8.3,".266",".402",".327","0.729","0.136",".324","29","57","0",".247",".377",".318",".304",".310",".131",".369",".350",".346",".322",".019",".025",".014",,30.1,5.2,33.3,"97.979172667","93.079952",27.4,48.2
"Villar, Jonathan",542340,2020,29,185,207,43,36,5,0,2,54,19,26.1,9.2,".232",".292",".301","0.593","0.060",".313","15","52","0",".216",".287",".266",".261",".288",".071",".315",".308",".323",".303",".016",".005",".005",,18.7,1.5,35.8,"99.470722344","93.853135313",32,51.6
"Moncada, Yoán",660162,2020,25,200,231,45,28,8,3,6,72,28,31.2,12.1,".225",".385",".320","0.705","0.160",".315","24","52","1",".207",".336",".309",".290",".306",".129",".394",".359",".346",".321",".018",".049",".019",,33.8,6.2,33.1,"98.732421563","93.432022969",30.5,43.1
"Biggio, Cavan",624415,2020,25,220,265,55,31,16,0,8,61,41,23,15.5,".250",".432",".375","0.807","0.182",".311","28","59","3",".214",".343",".355",".315",".345",".129",".396",".328",".346",".296",".036",".089",".040",,31.4,5,30.8,"96.787761519","92.575247452",23,36.3
"Lindor, Francisco",596019,2020,26,236,266,61,40,13,0,8,41,24,15.4,9,".258",".415",".335","0.750","0.157",".280","27","60","4",".279",".441",".324",".346",".356",".162",".341",".371",".310",".338","-0.021","-0.026","-0.022",,36.5,5.6,41.1,"99.684694433","94.059685052",20.3,48.9
"Harper, Bryce",547180,2020,27,190,244,51,27,9,2,13,43,49,17.6,20.1,".268",".542",".420","0.962","0.274",".279","33","58","2",".308",".658",".400",".454",".451",".350",".428",".514",".342",".394","-0.040","-0.116","-0.054",,33.3,17.3,50.7,"104.136840278","96.785819375",28.6,45.9
"Laureano, Ramón",657656,2020,25,183,222,39,24,8,1,6,58,24,26.1,10.8,".213",".366",".338","0.704","0.153",".270","25","54","12",".230",".403",".315",".338",".353",".173",".348",".387",".305",".331","-0.017","-0.037","-0.023",,34.4,9.4,34.4,"99.202456563","93.694385859",25,40.2
"Kiner-Falefa, Isiah",643396,2020,25,211,228,59,49,4,3,3,32,14,14,6.1,".280",".370",".329","0.699","0.090",".316","10","58","2",".260",".340",".307",".294",".312",".080",".327",".310",".328",".306",".020",".030",".013",,22.2,2.2,31.1,"96.603922889","92.344912179",15.8,47.4
"Story, Trevor",596115,2020,27,235,259,68,40,13,4,11,63,24,24.3,9.3,".289",".519",".355","0.874","0.230",".354","28","59","0",".253",".457",".370",".335",".323",".204",".462",".410",".395",".346",".036",".062",".035",,40.1,8.7,41.3,"100.396057209","94.467090526",25.7,45.8
"Canha, Mark",592192,2020,31,191,243,47,28,12,2,5,54,37,22.2,15.2,".246",".408",".387","0.795","0.162",".307","33","59","10",".241",".415",".351",".359",".387",".175",".370",".383",".331",".331",".005","-0.007","-0.008",,37.3,7.7,39.4,"98.907806143","93.708491143",24,38
"La Stella, Tommy",600303,2020,31,196,228,55,34,14,2,5,12,27,5.3,11.8,".281",".449",".370","0.819","0.168",".276","25","55","2",".275",".423",".355",".348",".366",".148",".324",".315",".296",".290",".006",".026",".007",,32.1,4.8,28.3,"96.273957849","92.214603892",11.2,38.1
"McCutchen, Andrew",457705,2020,33,217,241,55,36,9,0,10,48,22,19.9,9.1,".253",".433",".324","0.757","0.180",".281","34","57","1",".276",".484",".327",".358",".346",".208",".369",".414",".324",".355","-0.023","-0.051","-0.031",,36.5,8.2,41.2,"99.22758119","93.968213095",22,40.6
"Muncy, Max",571970,2020,29,203,248,39,23,4,0,12,60,39,24.2,15.7,".192",".389",".331","0.720","0.197",".203","27","58","4",".229",".473",".316",".360",".362",".244",".338",".413",".269",".323","-0.037","-0.084","-0.044",,29,12.4,40,"99.706862329","94.042931517",26.8,36.6
"Realmuto, J.T.",592663,2020,29,173,195,46,29,6,0,11,48,16,24.6,8.2,".266",".491",".349","0.840","0.225",".307","32","47","6",".246",".498",".361",".356",".331",".252",".438",".431",".368",".341",".020","-0.007",".005",,32.8,13.6,42.4,"101.277934921","95.12123304",29.8,45.3
